id,name,email,age,department_id
464,User_464,user464@example.com,49.0,11
465,User_465,user465@example.com,,8
466,User_466,user466@example.com,54.0,6
467,User_467,user467@example.com,54.0,19
468,User_468,user468@example.com,57.0,15
469,User_469,user469@example.com,,3
470,User_470,user470@example.com,56.0,6
471,User_471,user471@example.com,,13
472,User_472,user472@example.com,,17
473,User_473,user473@example.com,33.0,7
474,User_474,user474@example.com,32.0,14
475,User_475,user475@example.com,,18
476,User_476,user476@example.com,,4
477,User_477,user477@example.com,25.0,17
478,User_478,user478@example.com,,19
479,User_479,user479@example.com,,14
480,User_480,user480@example.com,,6
481,User_481,user481@example.com,,3
482,User_482,user482@example.com,32.0,7
483,User_483,user483@example.com,,11
484,User_484,user484@example.com,24.0,16
485,User_485,user485@example.com,,15
486,User_486,user486@example.com,,18
487,User_487,user487@example.com,,12
488,User_488,user488@example.com,,17
489,User_489,user489@example.com,,18
490,User_490,user490@example.com,51.0,2
491,User_491,user491@example.com,,2
492,User_492,user492@example.com,20.0,6
493,User_493,user493@example.com,38.0,4
494,User_494,user494@example.com,,16
495,User_495,user495@example.com,,12
496,User_496,user496@example.com,22.0,7
497,User_497,user497@example.com,,11
498,User_498,user498@example.com,22.0,12
499,User_499,user499@example.com,,9
500,User_500,user500@example.com,,12
